condition,doc_id,edit_ratio,char_delta
c4_doc_local_anon,P0014_D01,0.2722772277227723,-38
c5_linkguard,P0014_D01,0.6264294790343075,-59
c6_aggressive_redaction,P0014_D01,0.6776859504132231,-120
c1b_presidio_redaction,P0014_D01,0.6172695449241541,11
c1_direct_redaction,P0014_D02,0.15938303341902316,-50
c2_consistent_pseudonym,P0014_D02,0.5881595881595882,-51
c3_per_doc_pseudonym,P0014_D02,0.5933926302414232,-41
c4_doc_local_anon,P0014_D02,0.15938303341902316,-50
c5_linkguard,P0014_D02,0.6596306068601583,-70
c6_aggressive_redaction,P0014_D02,0.8067226890756303,-114
c1b_presidio_redaction,P0014_D02,0.5029171528588098,29
c1_direct_redaction,P0014_D03,0.28532608695652173,-50
c2_consistent_pseudonym,P0014_D03,0.2958500669344043,-39
c3_per_doc_pseudonym,P0014_D03,0.3051519154557464,-29
c4_doc_local_anon,P0014_D03,0.3262032085561497,-38
c5_linkguard,P0014_D03,0.4679399727148704,-53
c6_aggressive_redaction,P0014_D03,0.6709585121602288,-87
c1b_presidio_redaction,P0014_D03,0.3529411764705882,-4
c1_direct_redaction,P0014_D04,0.25806451612903225,-50
c2_consistent_pseudonym,P0014_D04,0.2894409937888198,-51
c3_per_doc_pseudonym,P0014_D04,0.29815950920245404,-41
c4_doc_local_anon,P0014_D04,0.2706766917293233,-58
c5_linkguard,P0014_D04,0.6851385390428212,-62
c6_aggressive_redaction,P0014_D04,0.7372060857538036,-133
c1b_presidio_redaction,P0014_D04,0.3853211009174312,16
c1_direct_redaction,P0015_D01,0.1390887290167866,-46
c2_consistent_pseudonym,P0015_D01,0.21698113207547165,-32
c3_per_doc_pseudonym,P0015_D01,0.1981351981351981,-22
c4_doc_local_anon,P0015_D01,0.1390887290167866,-46
c5_linkguard,P0015_D01,0.25269461077844313,-45
c6_aggressive_redaction,P0015_D01,0.7446808510638299,-81
c1b_presidio_redaction,P0015_D01,0.7441077441077442,11
c1_direct_redaction,P0015_D02,0.2624671916010499,-46
c2_consistent_pseudonym,P0015_D02,0.25,-32
c3_per_doc_pseudonym,P0015_D02,0.2595419847328244,-22
c4_doc_local_anon,P0015_D02,0.2624671916010499,-46
c5_linkguard,P0015_D02,0.5779816513761468,-45
c6_aggressive_redaction,P0015_D02,0.7438692098092643,-74
c1b_presidio_redaction,P0015_D02,0.3111931119311193,5
c1_direct_redaction,P0015_D03,0.2612359550561798,-46
c2_consistent_pseudonym,P0015_D03,0.2644628099173554,-32
c3_per_doc_pseudonym,P0015_D03,0.26086956521739135,-22
c4_doc_local_anon,P0015_D03,0.2612359550561798,-46
c5_linkguard,P0015_D03,0.30069930069930073,-43
c6_aggressive_redaction,P0015_D03,0.45718432510885343,-69
c1b_presidio_redaction,P0015_D03,0.3732119635890767,11
c1_direct_redaction,P0015_D04,0.24455205811138014,-46
c2_consistent_pseudonym,P0015_D04,0.22619047619047616,-32
c3_per_doc_pseudonym,P0015_D04,0.24941176470588233,-22
c4_doc_local_anon,P0015_D04,0.24455205811138014,-46
c5_linkguard,P0015_D04,0.3783132530120482,-42
c6_aggressive_redaction,P0015_D04,0.46134020618556704,-96
c1b_presidio_redaction,P0015_D04,0.2907639680729761,5
c1_direct_redaction,P0016_D01,0.23895809739524354,-55
c2_consistent_pseudonym,P0016_D01,0.23042505592841167,-44
c3_per_doc_pseudonym,P0016_D01,0.28761061946902655,-34
c4_doc_local_anon,P0016_D01,0.2737430167597765,-43
c5_linkguard,P0016_D01,0.5621301775147929,-93
c6_aggressive_redaction,P0016_D01,0.6458852867830425,-136
c1b_presidio_redaction,P0016_D01,0.3270042194092827,10
c1_direct_redaction,P0016_D02,0.24852767962308597,-55
c2_consistent_pseudonym,P0016_D02,0.4639905548996458,-57
c3_per_doc_pseudonym,P0016_D02,0.49824970828471415,-47
c4_doc_local_anon,P0016_D02,0.24852767962308597,-55
c5_linkguard,P0016_D02,0.6768665850673194,-87
