condition,condition_label,persona_id,risk_tier,top_k,retrieval_hit_at_k,target_docs_at_k,top_doc_persona,top_doc_is_target,exact_field_recovery,coarse_field_recovery,exact_fields_recovered,coarse_fields_recovered
c1_direct_redaction,C1 direct redaction,P0086,T3,5,1,4,P0086,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0087,T1,5,0,0,P0074,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0088,T2,5,0,0,P0044,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0089,T3,5,1,2,P0089,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0091,T2,5,0,0,P0011,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0092,T3,5,1,4,P0092,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0093,T1,5,0,0,P0044,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0094,T2,5,0,0,P0065,0,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0096,T1,5,0,0,P0026,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0097,T2,5,0,0,P0119,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0098,T3,5,1,3,P0098,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0099,T1,5,0,0,P0017,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0101,T3,5,1,3,P0101,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0102,T1,5,0,0,P0110,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0103,T2,5,0,0,P0038,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0104,T3,5,1,3,P0104,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0106,T2,5,0,0,P0098,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0107,T3,5,1,3,P0107,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0108,T1,5,0,0,P0014,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0109,T2,5,0,0,P0119,0,0.09090909090909091,0.09090909090909091,1.0,1.0
c1_direct_redaction,C1 direct redaction,P0111,T1,5,0,0,P0116,0,0.6363636363636364,0.6363636363636364,7.0,7.0
